name,施設名(英語),カテゴリ,対象地区,住所,電話番号,lat,lon,説明(日本語),説明(英語),対象に対する記述
惜陰小学校,,避難所,鯖江,日の出町６－３７,0778-51-2866,35.942551,136.186417,,,
進徳小学校,,避難所,鯖江,長泉寺町２丁目５－１,0778-53-1503,35.954194,136.18506,,,
鯖江中学校,,避難所,鯖江,小黒町２丁目１２－1,0778-51-2890,35.952001,136.175004,,,
鯖江幼稚園,,避難所,鯖江,日の出町６－３７,0778-51-0562,35.942516,136.186058,,,
王山保育所,,避難所,鯖江,日の出町６－３７,0778-51-0640,35.942516,136.186058,,,
進徳幼稚園,,避難所,鯖江,長泉寺町１丁目９－１９,0778-51-7717,35.953161,136.184309,,,
鯖江公民館,,避難所,鯖江,桜町１丁目１－１６,0778-51-3010,35.945387,136.183129,,,
早稲田保育所,,避難所,鯖江,本町４丁目６－１７,0778-51-0364,35.949213,136.184459,,,
嚮陽会館,,避難所,鯖江,桜町２丁目７－１,0778-52-5789,35.947928,136.17939,,,
市民活動交流センター,,避難所,鯖江,長泉寺町１丁目９－２０,0778-54-7055,35.953847,136.184336,,,
本町児童センター,,避難所,鯖江,本町４丁目６－１６,0778-52-8903,35.9495,136.184375,,,
舟津児童センター,,避難所,鯖江,舟津町４丁目８－１６,0778-51-3329,35.934743,136.181783,,,
小黒町児童センター,,避難所,鯖江,小黒町１丁目１－１８,0778-52-4529,35.951405,136.178958,,,
有定児童センター,,避難所,鯖江,有定町２丁目８－２１,0778-51-2985,35.9450407,136.1744354,,,
柳町児童センター,,避難所,鯖江,柳町２丁目１－８,0778-52-9302,35.94713,136.189193,,,
長泉寺児童センター,,避難所,鯖江,長泉寺町２丁目３－１１,0778-52-0697,35.954759,136.187054,,,
地域交流センター（市民ホールつつじ）,,避難所,鯖江,本町２丁目２－１６,0778-54-7000,35.946249,136.185045,,,
ふれあいみんなの館・さばえ,,避難所,鯖江,上鯖江１丁目４－１,0778-51-8785,35.937634,136.179772,,,
公園管理事務所,,避難所,鯖江,桜町３丁目７－２０,0778-51-1001,35.950025,136.18307,,,
資料館,,避難所,鯖江,長泉寺町１丁目９－２０,0778-51-5999,35.953521,136.184349,,,
スポーツ交流館,,避難所,鯖江,宮前２丁目９－１,0778-53-0369,35.930809,136.184013,,,
西山公園,,避難所,鯖江,桜町,,35.950484,136.182254,,,
鯖江東小学校,,避難所,新横江,新横江２丁目６－３７,0778-51-0338,35.939604,136.198778,,,
鯖江東幼稚園,,避難所,新横江,新横江２丁目６－３７,0778-52-5696,35.9394,136.198456,,,
新横江公民館,,避難所,新横江,横越町１－４３－２,0778-51-2969,35.942024,136.200731,,,
いきいき未来館,,避難所,新横江,定次町１０８,0778-51-1450,35.938589,136.198078,,,
新横江児童センター,,避難所,新横江,定次町１０８,0778-51-1450,35.938589,136.198078,,,
文化センター,,避難所,新横江,東鯖江３丁目７－１,0778-52-7430,35.943479,136.199012,,,
総合体育館,,避難所,新横江,東鯖江３丁目６－１０,0778-51-3176,35.9441291,136.1977014,,,
東公園,,避難所,新横江,東鯖江３丁目,,35.9443163,136.1982769,,,
神明小学校,,避難所,神明,水落町４丁目１３－２３,0778-51-1110,35.970339,136.184455,,,
鳥羽小学校,,避難所,神明,神明町４丁目１－３８,0778-52-0045,35.979303,136.187909,,,
